127.0.0.1 - - [18/May/2020:12:04:27 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/index.jsp HTTP/1.1" 200 19899
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/temp.css HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/style.css HTTP/1.1" 200 68513
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/home.css HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/bootstrap-3.1.1.min.css HTTP/1.1" 200 99961
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/font-awesome.css HTTP/1.1" 200 22062
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/bootstrap.min.css HTTP/1.1" 200 121260
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/css/bootstrap.css HTTP/1.1" 200 146069
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/js/jquery.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/js/login1.js HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/logo/logo.png HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/banner/b2.jpg HTTP/1.1" 200 352663
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/7.jpg HTTP/1.1" 200 3398
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/8.jpg HTTP/1.1" 200 4570
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/9.jpg HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/10.jpg HTTP/1.1" 200 3948
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/12.jpg HTTP/1.1" 200 4508
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/11.jpg HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/13.jpg HTTP/1.1" 200 5263
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 60767
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/wed.jpg HTTP/1.1" 200 90955
0:0:0:0:0:0:0:1 - - [18/May/2020:12:04:41 +0530] "GET /MANOBANDHAN/images/icon/bg.jpg HTTP/1.1" 200 50088
0:0:0:0:0:0:0:1 - - [18/May/2020:12:05:37 +0530] "POST /MANOBANDHAN/LoginInfo HTTP/1.1" 500 1538
